date,product,buy_contracts,buy_amount_cr,sell_contracts,sell_amount_cr,oi_contracts,oi_amount_cr
2026-08-13,Commodity Options,631014.0,21218.57,632951.0,21230.12,245438.0,10068.63
2026-08-13,Currency Futures,34549.0,330.36,50715.0,484.0,705327.0,6.82
2026-08-13,Currency Options,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-13,Index Futures,10616.0,1770.91,19637.0,3151.77,220438.0,36413.36
2026-08-13,Index Options,9678574.0,1527810.95,9665922.0,1525486.22,2926457.0,470495.83
2026-08-13,Interest Rate Futures,0.0,0.0,0.0,0.0,3830.0,76.35
2026-08-13,Stock Futures,271483.0,19027.78,263735.0,17979.78,6416116.0,437776.12
2026-08-13,Stock Options,312852.0,22839.8,317341.0,23146.02,1122064.0,76886.7
2026-08-14,Commodity Futures,13830.0,530.26,27273.0,972.44,48271.0,1358.79
2026-08-14,Commodity Options,896187.0,30575.09,878248.0,30349.54,241014.0,9276.56
2026-08-14,Currency Futures,44213.0,422.25,13325.0,127.76,736367.0,7.12
2026-08-14,Currency Options,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-14,Index Futures,4738.0,765.15,8234.0,1328.81,223790.0,36932.79
2026-08-14,Index Options,17213716.0,2698419.84,17591863.0,2758094.5,2705165.0,435984.22
2026-08-14,Interest Rate Futures,0.0,0.0,0.0,0.0,3830.0,76.45
2026-08-14,Stock Futures,200650.0,14131.07,196481.0,13770.22,6428539.0,438843.87
2026-08-14,Stock Options,259130.0,19160.25,264156.0,19563.35,1174320.0,80893.15
2026-08-17,Commodity Futures,23968.0,842.45,21183.0,752.32,46883.0,1340.59
2026-08-17,Commodity Options,746370.0,26934.81,709650.0,25948.13,243705.0,9132.11
2026-08-17,Currency Futures,46712.0,446.99,15850.0,151.29,775619.0,7.5
2026-08-17,Currency Options,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-17,Index Futures,4399.0,718.55,12401.0,2034.88,227898.0,37521.47
2026-08-17,Index Options,5685017.0,906146.21,5676750.0,904764.51,3001197.0,482661.22
2026-08-17,Interest Rate Futures,0.0,0.0,0.0,0.0,3830.0,76.49
2026-08-17,Stock Futures,197989.0,13934.61,202151.0,14108.71,6446245.0,438726.22
