date,day_of_week,expiry_type,csv_move_direction,afternoon_direction,concordance,vix_open,vix_close,vix_bucket,t1_fii_stance,t1_pro_stance,fii_composite,fii_view,pro_composite,pro_view,price_at_2pm,session_close,inflection_time,inflection_price,move_from_inflection_pct,move_from_2pm_pct
2021-03-18,Thursday,weekly,Top to Down,Down to Up,Mismatch,20.16,20.08,High (>20),FII Neutral,PRO Mildly Bearish,-12513,Neutral,-50929,Bearish,14572.1,14583.7,14:15,14479.35,0.721,0.08
2021-03-25,Thursday,monthly,Top to Down,Top to Down,Match,22.46,22.7,High (>20),FII Very Bearish (sold fut >10K + bought puts >20K),PRO Hedging (bought puts >20K),-38491,Mildly Bearish,-169073,Strong Bearish,14396.25,14346.4,14:45,14493.05,1.012,0.346
2021-04-01,Thursday,weekly,Down to Up,Down to Up,Match,20.65,19.99,High (>20),FII Very Bearish (sold fut >10K + bought puts >20K),PRO Mildly Bullish,-107527,Strong Bearish,-94372,Bearish,14808.75,14865.95,14:00,14808.35,0.389,0.386
2021-04-08,Thursday,weekly,Top to Down,Top to Down,Match,20.25,20.31,High (>20),FII Neutral,PRO Confident (sold puts >20K),28534,Neutral,115537,Strong Bullish,14948.45,14877.5,14:00,14961.8,0.563,0.475
2021-04-15,Thursday,weekly,Down to Up,Down to Up,Match,20.46,20.89,High (>20),FII Neutral,PRO Neutral,0,Neutral,0,Neutral,14472.1,14589.4,14:35,14471.85,0.812,0.811
2021-04-22,Thursday,weekly,Down to Up,Down to Up,Match,22.43,23.03,High (>20),FII Neutral,PRO Neutral,0,Neutral,0,Neutral,14369.35,14398.7,14:25,14353.6,0.314,0.204
2021-04-29,Thursday,monthly,Top to Down,Flat,Flat,22.58,23.31,High (>20),FII Neutral,PRO Bullish (bought fut + sold puts),-2644,Neutral,42624,Mildly Bullish,14887.9,14888.6,,,0.0,0.005
2021-05-06,Thursday,weekly,Down to Up,Down to Up,Match,23.01,22.04,High (>20),FII Confident (sold puts >20K),PRO Confident (sold puts >20K),19242,Neutral,93078,Bullish,14697.25,14733.2,14:25,14674.7,0.399,0.245
2021-05-12,Wednesday,weekly,Top to Down,Top to Down,Match,20.23,20.08,High (>20),FII Bearish (sold fut >10K),PRO Mildly Bullish,-26908,Neutral,-36134,Mildly Bearish,14749.9,14698.75,14:00,14763.15,0.436,0.347
2021-05-19,Wednesday,weekly,Top to Down,Top to Down,Match,19.24,19.32,Medium (15-20),FII Mildly Bullish,PRO Bullish (bought fut + sold puts),53229,Bullish,-30095,Mildly Bearish,15040.55,15019.2,14:50,15072.4,0.353,0.142
2021-05-27,Thursday,monthly,Down to Up,Down to Up,Match,20.87,19.91,High (>20),FII Hedging (bought puts >20K),PRO Confident (sold puts >20K),15476,Neutral,52439,Bullish,15348.8,15370.15,14:35,15273.35,0.634,0.139
