Date,fii_fut_idx_net,fii_call_net,fii_put_net,FII_Direction,DII_Direction,Pro_Direction,Client_Direction,Nifty_Close,Nifty_Change_Pct,Market_Direction,FII_Correct
2026-07-16,-249886,-218883,488171,Bullish,Bullish,Bullish,Bearish,24072.75,1.09,Bullish,Correct
2026-07-17,-216528,-69411,397859,Bullish,Neutral,Bullish,Bearish,24334.30078125,-0.39,Bearish,Incorrect
2026-07-20,-219823,-149857,410533,Neutral,Neutral,Neutral,Neutral,24238.5,-0.21,Bearish,
2026-07-21,-228847,-170055,508927,Neutral,Bullish,Neutral,Neutral,24187.69921875,-0.79,Bearish,
2026-07-22,-251704,-248973,544408,Neutral,Neutral,Bullish,Neutral,23996.25,-0.53,Bearish,
2026-07-23,-263082,-314487,546528,Bearish,Neutral,Bullish,Neutral,23869.599609375,-0.43,Bearish,Correct
2026-07-24,-270847,-258810,535178,Bullish,Neutral,Bullish,Bearish,23767.44921875,0.96,Bullish,Correct
2026-07-27,-266925,-225538,482049,Neutral,Neutral,Neutral,Bearish,23995.94921875,-0.04,Bearish,
2026-07-28,-205601,-247547,521900,Neutral,Neutral,Neutral,Neutral,23985.349609375,1.1,Bullish,
2026-07-29,-194818,-158213,477176,Bullish,Neutral,Bullish,Bearish,24250.19921875,0.28,Bullish,Correct
2026-07-30,-186612,-176285,440725,Bullish,Neutral,Neutral,Neutral,24317.150390625,0.27,Bullish,Correct
2026-07-31,-173113,-184525,453770,Neutral,Neutral,Neutral,Neutral,24383.599609375,1.6,Bullish,
